date,target,year,month,day,day_of_week,hour,lag_1,lag_2,rolling_mean,rolling_std,expanding_mean,expanding_std,sqrt_transform,log_transform,boxcox_transform,moving_average
2020-01-01,91,2020,1,1,2,0,,,,,91.0,,9.539392014169456,4.51085950651685,32.24279536481923,
2020-01-02,30,2020,1,2,3,0,91.0,,,,60.5,43.1335136523794,5.477225575051661,3.4011973816621555,14.044497654720024,
2020-01-03,35,2020,1,3,4,0,30.0,91.0,,,52.0,33.8673884437522,5.916079783099616,3.5553480614894135,15.809365846684306,
2020-01-04,78,2020,1,4,5,0,35.0,30.0,,,58.5,30.55595959328829,8.831760866327848,4.356708826689592,28.79527663003187,
2020-01-05,43,2020,1,5,6,0,78.0,35.0,,,55.4,27.355072655725117,6.557438524302,3.7612001156935624,18.48402145737314,
2020-01-06,14,2020,1,6,0,0,43.0,78.0,,,48.5,29.73718211263468,3.7416573867739413,2.6390573296152584,7.642571437102055,
2020-01-07,57,2020,1,7,1,0,14.0,43.0,49.714285714285715,27.335656115010213,49.714285714285715,27.335656115010213,7.54983443527075,4.04305126783455,22.831865332464492,
2020-01-08,60,2020,1,8,2,0,57.0,14.0,45.285714285714285,21.398709351378226,51.0,25.567836938510965,7.745966692414834,4.0943445622221,23.71968747311681,49.714285714285715
2020-01-09,100,2020,1,9,3,0,60.0,57.0,55.285714285714285,28.30614942442888,56.44444444444444,28.961660480327744,10.0,4.605170185988092,34.54316460556474,45.285714285714285
2020-01-10,50,2020,1,10,4,0,100.0,60.0,57.42857142857143,27.054618477302192,55.8,27.38125879745731,7.0710678118654755,3.912023005428146,20.70364675964728,55.285714285714285
2020-01-11,50,2020,1,11,5,0,50.0,100.0,53.42857142857143,25.533358199664633,55.27272727272727,26.034941555881815,7.0710678118654755,3.912023005428146,20.70364675964728,57.42857142857143
2020-01-12,11,2020,1,12,6,0,50.0,50.0,48.857142857142854,30.157522949940542,51.583333333333336,27.92020556492876,3.3166247903554,2.3978952727983707,6.2323642140930415,53.42857142857143
2020-01-13,7,2020,1,13,0,0,11.0,50.0,47.857142857142854,31.588123144775853,48.15384615384615,29.452917664882694,2.6457513110645907,1.9459101490553132,4.153044884881179,48.857142857142854
2020-01-14,61,2020,1,14,1,0,7.0,11.0,48.42857142857143,31.81643780006986,49.07142857142857,28.5049639016254,7.810249675906654,4.110873864173311,24.0126548700147,47.857142857142854
2020-01-15,48,2020,1,15,2,0,61.0,7.0,46.714285714285715,31.40973461478827,49.0,27.46946356541075,6.928203230275509,3.871201010907891,20.07954154212804,48.42857142857143
2020-01-16,66,2020,1,16,3,0,48.0,61.0,41.857142857142854,23.405331098053782,50.0625,26.876182144543275,8.12403840463596,4.189654742026425,25.45656900142539,46.714285714285715
2020-01-17,91,2020,1,17,4,0,66.0,48.0,47.714285714285715,29.987298898668673,52.470588235294116,27.852552950893983,9.539392014169456,4.51085950651685,32.24279536481923,41.857142857142854
2020-01-18,16,2020,1,18,5,0,91.0,66.0,42.857142857142854,32.22539666902783,50.44444444444444,28.35535476397447,4.0,2.772588722239781,8.532212897907703,47.714285714285715
2020-01-19,43,2020,1,19,6,0,16.0,91.0,47.42857142857143,29.06806462343823,50.05263157894737,27.609325486168068,6.557438524302,3.7612001156935624,18.48402145737314,42.857142857142854
2020-01-20,30,2020,1,20,0,0,43.0,16.0,50.714285714285715,24.70974359582529,49.05,27.244458635028693,5.477225575051661,3.4011973816621555,14.044497654720024,47.42857142857143
2020-01-21,40,2020,1,21,1,0,30.0,43.0,47.714285714285715,24.526953104114437,48.61904761904762,26.627948081810942,6.324555320336759,3.6888794541139363,17.50009167715883,50.714285714285715
2020-01-22,18,2020,1,22,2,0,40.0,30.0,43.42857142857143,26.96823528311992,47.22727272727273,26.793623651874125,4.242640687119285,2.8903717578961645,9.389094747155276,47.714285714285715
2020-01-23,35,2020,1,23,3,0,18.0,40.0,39.0,25.12634739339033,46.69565217391305,26.30146000546305,5.916079783099616,3.5553480614894135,15.809365846684306,43.42857142857143
2020-01-24,72,2020,1,24,4,0,35.0,18.0,36.285714285714285,18.80349511584025,47.75,26.23679792233403,8.48528137423857,4.276666119016055,27.146763970363896,39.0
2020-01-25,22,2020,1,25,5,0,72.0,35.0,37.142857142857146,17.83655956575866,46.72,26.19561031928823,4.69041575982343,3.091042453358316,11.02220220616371,36.285714285714285
2020-01-26,45,2020,1,26,6,0,22.0,72.0,37.42857142857143,17.961599250040273,46.65384615384615,25.6685680281426,6.708203932499369,3.8066624897703196,19.1285592565314,37.142857142857146
2020-01-27,96,2020,1,27,0,0,45.0,22.0,46.857142857142854,27.954895644165635,48.48148148148148,26.90205935836136,9.797958971132712,4.564348191467836,33.528772459717906,37.42857142857143
2020-01-28,51,2020,1,28,1,0,96.0,45.0,48.42857142857143,27.814008118555083,48.57142857142857,26.40346297633811,7.14142842854285,3.9318256327243257,21.012889948001355,46.857142857142854
2020-01-29,65,2020,1,29,2,0,51.0,96.0,55.142857142857146,24.748256311833195,49.13793103448276,26.106545618636165,8.06225774829855,4.174387269895637,25.170481262582108,48.42857142857143
2020-01-30,25,2020,1,30,3,0,65.0,51.0,53.714285714285715,26.34207208829182,48.333333333333336,26.028278167558764,5.0,3.2188758248682006,12.188877268429023,55.142857142857146
2020-01-31,77,2020,1,31,4,0,25.0,65.0,54.42857142857143,26.980592672370673,49.25806451612903,26.103598400649012,8.774964387392123,4.343805421853684,28.523234751227722,53.714285714285715
